137,Software,Smart ICU,Smart ICU,ICCA ต้องการ สร้าง Username/Password เข้าใช้งาน,ต้องการ เพิ่มสิทธิ์การเข้าใช้งาน ICCA,ประสานงาน ทีม GLS G1 Application Support ตรวจสอบ เพิ่มสิทธิ์เข้าใช้งานระบบ ICCA เรียบร้อย
138,Security services,Security services,Username&Password,ICCA พบปัญหา Logon เข้าใช้งานไม่ได้ Error,Username/Password Expired,Change Password AD สามารถใช้งานได้ปกติ
139,Software,Smart ICU,Smart ICU,ICCA พบปัญหา Logon เข้าใช้งานไม่ได้ Error,Error: You Are not Auto rising Unit.,ประสานงาน ทีม GLS G1 Application Support ตรวจสอบ (......) เรียบร้อย
140,Software,Smart ICU,Smart ICU,ICCA พบปัญหา Transfer Out คนไข้ผิด Location,ไม่ทราบสาเหตุ,
141,Software,Smart ICU,Smart ICU,ICCA พบปัญหา Ventilator ไม่เข้าระบบ,ไม่ทราบสาเหตุ,
142,Software,ICCA,ICCA,ICCA พบปัญหา Vital Sign ไม่เข้าระบบ,ไม่ทราบสาเหตุ,ประสานงาน ทีม MTD ตรวจสอบ (.....) เรียบร้อย
143,Software,Smart ICU,Smart ICU,ICCA พบปัญหา เข้าใช้งานไม่ได้ Error,Error : Pop-Up Clinical information system error detected. See system manager ( ค่า Config Time ไม่ถูกต้อง),Setup Config Time ICCA สามารถใช้งานได้ปกติ
144,Software,Smart ICU,Smart ICU,ICCA พบปัญหา เข้าใช้งานไม่ได้ Error,Error : Clinical Information system error detected.,Setup Config Time ICCA สามารถใช้งานได้ปกติ
145,Software,Smart ICU,Smart ICU,ICCA พบปัญหา เข้าใช้งานไม่ได้ Error,Error : Consistency Check Error (Profiles User เสีย),Created Profile Windows ใหม่ สามารถใช้งานได้ปกติ
146,Software,Smart ICU,Smart ICU,ICCA พบปัญหา ไม่ Link Infusion pump,ข้อมูลไม่ Auto Run,ประสานงาน ทีม Vender Phillip (คุณศรุท) ตรวจสอบ (.....) เรียบร้อย
147,Software,Smart ICU,Smart ICU,ICCA พบปัญหา ไม่ Link IV,Program ICCA ค้าง,ปิด-เปิด Program ICCA ใหม่ สามารถใช้งานได้ปกติ
148,Software,Smart ICU,Smart ICU,ICCA พบปัญหา ไม่ Link ชื่อคนไข้,เครื่อง intellBridge EC80 ค้าง,ปิด-เปิด เครื่อง IntellBridge EC80 ใหม่ ICCA Link เข้าระบบปกติ
149,Software,Browser,Google Chrome,Google Chrome พบปัญหา ใช้งานแล้วช้า,ไม่ทราบสาเหตุ,Reset Google Chrome สามารถใช้งานได้ปกติ
150,Software,Browser,Google Chrome,Google Chrome พบปัญหา ตัวอักษรใหญ่กว่าปกติ,ไม่ทราบสาเหตุ,Setting ขนาด แบบอักษร Google Chrome สามารถใช้งานได้ปกติ
151,Operating System,Windows,Windows Desktop,Google Chrome พบปัญหา Run Google Chrome แล้วไม่ขึ้น,Service Google Chrome ค้าง,End Process Google Chrome เปิดใหม่ สามารถใช้งานได้ปกติ
152,Operating System,Windows,Windows Desktop,Google Chrome พบปัญหา เปิดใช้งานไม่ได้,ไม่ทราบสาเหตุ,Re-Install Program Google Chrome เรียบร้อย
153,Software,Browser,Google Chrome,Google Chrome พบปัญหา ไม่ Pop-Up New Tab,ไม่ทราบสาเหตุ,Setting Pop-Up Chrome ใหม่ สามารถใช้งานได้ปกติ
154,Operating System,Windows,Windows Desktop,Google Chrome พบปัญหา หน้าจอ Zoom in/out,มีรการตั้งค่า Zoom in/out หน้าจอ,แนะนำเจ้าหน้าที่/แพทย์ กดปุ่ม Ctrl ค้าง และเลื่อน Scroll Mouse เพื่อปรับระดับการ Zoom in/out สามารถใช้งานได้ปกติ
155,Software,Browser,Google Chrome,Google Chrome พบปัญหา หลุดบ่อย,ไม่ทราบสาเหตุ,Reset Google Chrome สามารถใช้งานได้ปกติ
156,Software,Microsoft Office,Outlook,Outlook (2010/2013/2016/Web) พบปัญหา Inbox ไม่แสดง Unread,ติ๊ก Use Cached Exchange Mode,เอา ติ๊ก Use Cached Exchange Mode ออก สามารถใช้งานได้ปกติ
157,Security services,Security services,Username&Password,Outlook (2010/2013/2016/Web) พบปัญหา Logon เข้าใช้งานไม่ได้ Error,Error : use the following link to open this mailbox with the best performance.,คลิก Link และใส่ Username: ชื่อ.นามสกุล 2 ตัวแรก @bdms.co.th สามารถ Login เข้าใช้งานได้ปกติ
158,Operating System,Windows,Windows Desktop,Outlook (2010/2013/2016/Web) พบปัญหา ไม่พบ Icon,ไม่ทราบสาเหตุ,แนะนำเจ้าหน้าที่/แพทย์ Search หาจาก Start Bar pin Taskbar สามารถใช้งานได้ปกติ
159,Software,Microsoft Office,Outlook,Outlook (2010/2013/2016) ต้องการ Add Account E-mail,ต้องการ Add Account E-mail,Setup E-mail ใหม่ สามารถใช้งานได้ปกติ
160,Software,Microsoft Office,Outlook,Outlook (2010/2013/2016) ต้องการ Add Archive E-mail,ต้องการ Add Archive E-mail,เพิ่ม Archive E-mail สามารถใช้งานได้ปกติ
161,Software,Microsoft Office,Outlook,Outlook (2010/2013/2016) ต้องการ Set Rule,ต้องการ Set Rule,Set Rule สามารถใช้งานได้ปกติ
162,Software,Microsoft Office,Outlook,Outlook (2010/2013/2016) ต้องการ Set Share Calendar,ต้องการ Set Share Calendar,Set Mail Calendar สามารถใช้งานได้ปกติ
163,Software,Microsoft Office,Outlook,Outlook (2010/2013/2016) ต้องการ Setting Show in Conversation menu.,ต้องการ Setting Show in Conversation Menu,Click Show Add Conversation.
164,Software,Microsoft Office,Outlook,Outlook (2010/2013/2016) ต้องการ ตั้งค่าการ Read E-mail ของปลายทาง,ต้องการ ตั้งค่าการ Read E-mail ของปลายทาง,ตั้งค่า การ Read E-mail ของปลายทาง สามารถใช้งานได้ปกติ
165,Software,Microsoft Office,Outlook,Outlook (2010/2013/2016) ต้องการ นำรายชื่อ (เข้า/ออก) จาก Group Mail.,ต้องการ นำรายชื่อ (เข้า/ออก) จาก Group Mail.,นำรายชื่อ (เข้า/ออก) จาก Group Mail. สามารถใช้งานได้ปกติ
166,Software,Microsoft Office,Outlook,Outlook (2010/2013/2016) ต้องการ ปรับขนาดอักษร Font ข้อความ (ตัวใหญ่/ตัวเล็ก),ต้องการ ปรับขนาดอักษร Font,Setting ปรับขนาดอักษร Front สามารถใช้งานได้ปกติ
167,Software,Microsoft Office,Outlook,Outlook (2010/2013/2016) ต้องการ ปรับขนาดอักษร Font ใน E-mail,ต้องการ ปรับขนาดอักษร Font E-mail,Setting ปรับขนาดอักษร Font E-mail สามารถใช้งานได้ปกติ
168,Software,Microsoft Office,Outlook,Outlook (2010/2013/2016) ต้องการ ปรับขนาดอักษร Font หน้าจอ (สีตัวอักษร/ขนาดสีตัวอักษร),ต้องการ ปรับขนาดอักษร Font หน้าจอ (สีตัวอักษร/ขนาดสีตัวอักษร),Setting View เพิ่ม ขนาด Front สามารถใช้งานได้ปกติ
169,Software,Microsoft Office,Outlook,Outlook (2010/2013/2016) ต้องการ ปรับขนาดอักษร Font หัวข้อ New E-mail และ Reply E-mail,ต้องการ ปรับขนาดอักษร Font หัวข้อ New E-mail และ Reply E-mail,Setting ปรับขนาดอักษร Font E-mail สามารถใช้งานได้ปกติ
170,Software,Microsoft Office,Outlook,Outlook (2010/2013/2016) ต้องการ เปิด File แนบเป็นภาพขนาดใหญ่,ไม่ทราบสาเหตุ,Double Click ที่ File ภาพ สามารถใช้งานได้ปกติ
171,Software,Microsoft Office,Outlook,Outlook (2010/2013/2016) ต้องการ ให้แสดง Pop-up อีกหน้าต่าง,ไม่ทราบสาเหตุ,
172,Operating System,Windows,Windows Desktop,Outlook (2010/2013/2016) พบปัญหา Approved Lotus Note แล้ว ไม่ Default E-mail.,Set Default Approve เลือกเป็น Lotus Note,Set Default Program เป็น Outlook ใหม่ สามารถใช้งานได้ปกติ
